#id,tipo,ipOrigem,portaOrigem,hostnameOrigem,ipDestino,portaDestino,malware,protocolo,sistemaOperacional,passo1,passo2,passo3,passo4,passo5,passo6,passo7,passo8,passo9,passo10,passo11,passo12,passo13,passo14
95,1,3356631507,35023,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
96,8,3356631348,0,2,0,0,0,0,2,16,17,11,39,25,37,36,23,0,0,0,0,0,0
97,2,3364102937,6177,0,0,0,0,1,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
98,1,3356633825,50683,0,3496221418,0,3,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
99,1,3356631397,4383,0,1760825084,0,4,0,1,16,17,11,25,12,23,0,0,0,0,0,0,0,0
100,1,3356631402,3837,0,1760825084,0,4,0,1,16,17,11,25,12,23,0,0,0,0,0,0,0,0
101,1,3356631406,1723,0,1760825085,0,4,0,1,16,17,11,25,12,23,0,0,0,0,0,0,0,0
102,1,3356631530,47268,0,1760825084,0,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
103,1,3356631402,3137,19,1760825084,80,4,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
104,1,3356631397,2204,18,1760825084,80,4,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
105,1,3356631406,0,17,1760825085,80,4,0,1,16,17,11,25,12,23,0,0,0,0,0,0,0,0
106,1,3356631530,60717,28,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
107,2,3356631221,40500,0,0,0,0,1,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
108,2,3364102937,52611,0,0,0,0,1,0,16,17,1,11,35,12,42,21,22,0,0,0,0,0
109,1,3356633858,10081,32,3496221418,0,3,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
110,1,3356633858,51770,32,1386554650,80,6,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
111,6,3364100130,22,0,1296825929,0,0,3,0,16,17,1,15,25,5,2,3,9,31,21,22,23,0
112,5,3364100130,22,0,0,0,0,3,0,16,17,1,15,25,5,2,3,9,31,21,22,23,0
