1686526,1,23,57569,null,null,65,null,null,null,null,null,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1685342,1,23,38952,null,null,65,null,null,null,null,null,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1674820,1,10,36639,34,4,1,80,null,6,null,1,16,17,11,25,12,23,null,null,null,null,null,null,null,null
1637446,2,3,55951,null,5,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
1620589,2,65,27698,null,null,null,null,null,null,1,null,16,17,1,11,35,21,22,23,null,null,null,null,null,null
1605727,7,10,null,80,null,null,null,null,null,null,null,16,17,11,39,25,37,36,23,null,null,null,null,null,null
1599998,2,68,57504,null,null,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
1539132,1,23,37674,null,null,65,null,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1536218,1,70,57238,8,11,98,80,2,3,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
1535703,1,23,57183,null,null,65,null,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1531307,1,23,36330,61,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1531287,1,70,55255,26,11,98,80,14,3,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
1525737,1,70,53478,15,11,98,80,14,3,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
1520933,1,70,51817,2,11,98,80,14,3,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
1520005,1,23,53092,57,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1515886,1,70,50080,14,11,98,80,4,3,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
1515332,1,23,38435,null,null,65,null,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1512076,1,70,54294,27,13,98,80,4,3,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
1510760,1,44,13134,40,null,65,80,null,4,null,1,16,17,11,25,12,23,null,null,null,null,null,null,null,null
1510754,1,23,42247,37,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1511203,4,6,null,null,null,null,null,null,null,null,null,16,17,1,40,11,12,21,22,41,23,null,null,null,null
1507238,1,70,50636,30,11,98,80,4,3,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
1506123,7,10,null,79,null,null,null,null,null,null,null,16,17,11,39,25,37,36,23,null,null,null,null,null,null
1498567,1,70,50874,11,11,98,80,4,3,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
1484292,2,7,40500,null,null,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
1483711,1,23,34590,36,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1463612,4,66,null,null,null,null,null,null,null,null,null,16,17,1,11,35,25,21,22,23,null,null,null,null,null
1453163,1,23,43248,null,null,65,null,null,null,null,null,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1442833,4,66,null,null,null,null,null,null,null,null,null,16,17,1,11,35,25,21,22,23,null,null,null,null,null
1428197,7,6,null,74,null,null,null,null,null,null,null,16,17,11,39,25,37,36,23,null,null,null,null,null,null
1424725,1,23,38157,36,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1416111,7,6,null,73,null,null,null,null,null,null,null,16,17,11,39,25,37,36,23,null,null,null,null,null,null
1351085,1,23,44199,36,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1348695,1,23,37400,46,28,65,null,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1340207,1,23,46595,45,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1337003,1,23,34291,44,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1334035,1,23,35342,43,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1329959,1,23,57796,42,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1324964,2,35,30963,null,null,null,null,null,null,null,null,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1320411,2,35,30963,null,null,null,null,null,null,null,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
1298559,1,23,57641,36,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1270901,2,84,58830,null,null,null,null,null,null,null,null,11,12,42,23,null,null,null,null,null,null,null,null,null,null
1236536,4,85,null,null,null,null,null,null,null,null,null,11,12,42,23,null,null,null,null,null,null,null,null,null,null
1209300,2,68,12705,null,23,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
1189361,1,70,49819,9,11,98,80,16,3,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
1172606,1,23,50234,55,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1167358,8,48,null,78,null,null,null,null,null,null,null,16,17,11,39,25,37,36,23,null,null,null,null,null,null
1144682,1,1,38402,6,6,null,80,6,3,null,1,16,17,1,15,25,5,2,3,9,21,22,23,null,null
1144248,5,75,null,null,null,null,null,null,null,null,null,16,17,1,11,35,25,12,36,21,22,23,null,null,null
1132864,1,23,34184,28,28,98,80,6,3,null,1,16,17,28,29,25,5,2,3,9,32,31,23,null,null
1132730,2,2,63836,null,null,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
1116374,1,23,52279,60,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1114475,1,17,42615,59,29,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1114487,1,23,37354,60,28,null,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1045981,1,23,34374,null,null,65,null,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1040458,1,23,56881,56,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
